
15-02-2017 09:07:48:749 - D: 	Executing bot with following commands ../Reference Bot\Reference\bin\Debug\Reference.exe D "E:\kuda\v1.2.6\Game Engine\Replays\580187095\14\D"
15-02-2017 09:07:48:749 - I: 	Executing process ../Reference Bot\Reference\bin\Debug\Reference.exe D "E:\kuda\v1.2.6\Game Engine\Replays\580187095\14\D"
15-02-2017 09:07:48:749 - I: 	Bot has 4000ms to run before it will be forcefully killed
15-02-2017 09:07:48:987 - I: 	Output from bot: *********************
15-02-2017 09:07:48:987 - I: 	Output from bot: *  ##....... # ##D..*
15-02-2017 09:07:48:987 - I: 	Output from bot: *A* *.*#* *.*#*#* *.*
15-02-2017 09:07:48:987 - I: 	Output from bot: *  # .#..... ... # .*
15-02-2017 09:07:48:987 - I: 	Output from bot: *#* *.*.*#*#*.*.* *.*
15-02-2017 09:07:48:987 - I: 	Output from bot: *.....#.#...#.#.....*
15-02-2017 09:07:48:987 - I: 	Output from bot: *.*#*#*.*.*.*.*#*#*#*
15-02-2017 09:07:48:987 - I: 	Output from bot: *.#    ...#...    # *
15-02-2017 09:07:48:987 - I: 	Output from bot: *.*#* *#*#*#*#* *#* *
15-02-2017 09:07:48:987 - I: 	Output from bot: *.......#####    # #*
15-02-2017 09:07:48:987 - I: 	Output from bot: * * * *.*# #* * * * *
15-02-2017 09:07:48:987 - I: 	Output from bot: *# # ...#####    # #*
15-02-2017 09:07:48:987 - I: 	Output from bot: * *#*.*#*#*#*#* *#* *
15-02-2017 09:07:48:987 - I: 	Output from bot: * #  .....#.........*
15-02-2017 09:07:48:987 - I: 	Output from bot: *#*#*#* *.*.* *#*#*.*
15-02-2017 09:07:48:987 - I: 	Output from bot: *# # ####...#### # .*
15-02-2017 09:07:48:987 - I: 	Output from bot: *#* * * *#*#* * * *.*
15-02-2017 09:07:48:987 - I: 	Output from bot: *  #  ## # # ##  # .*
15-02-2017 09:07:48:987 - I: 	Output from bot: *C* *#*#* * *#*#*B* *
15-02-2017 09:07:48:987 - I: 	Output from bot: *  ### # # # # ##   *
15-02-2017 09:07:48:987 - I: 	Output from bot: *********************
15-02-2017 09:07:48:987 - I: 	Output from bot: Executing move command
15-02-2017 09:07:48:987 - I: 	Output from bot: Sending Back command MoveRight
15-02-2017 09:07:48:987 - I: 	Output from bot: 
15-02-2017 09:07:48:987 - E: 	Output from bot: 
15-02-2017 09:07:49:003 - I: 	Your bots total execution time was 00:00:00.2493229
